,title,descript,topic_keyword,fork,star
276,PRBench,A CUDA implementation of the PageRank Pipeline Benchmark,[],13,31
277,CoMD-CUDA,GPU implementation of classical molecular dynamics proxy application.,[],53,28
278,torch-android,Torch-7 for Android,[],87,2
279,torch-distro,Torch installation in a self-contained folder,[],474,1
280,torch-cutorch,A CUDA backend for Torch7,[],212,2
281,torch-cunn,[BLANK],[],173,2
282,tegra-uboot-scripts,Generate boot.scr for U-Boot on Tegra,[],7,9
283,SKA-gpu-degrid,Degridding for the square kilometer array using GPUs,[],3,3
284,SKA-gpu-stefcal,Antenna gain calibration for the square kilometer array using GPUs,[],3,1
285,Forma,DSL for stencils and image processing,[],6,10
286,SKA-gpu-direct-convolve,Comparison of convolution methods for small kernels for the square kilometer array using GPUs,[],0,1
287,SKA-gpu-reproject,Image reprojection for the square kilometer array using GPUs,[],0,1
288,torch-nccl,torch bindings for nccl,[],12,1
289,remorac,[BLANK],[],6,38
290,vdpau-hevc-example,A sample VDPAU H.265/HEVC video player,[],11,23
291,cuda-gdb,CUDA GDB,[],43,96
292,vdpau-win-x11,VDPAU X11 window system helper library,[],3,4
293,cpu-microcode,NVIDIA CPU microcode,[],5,9
294,tegra-uboot-flasher-manifests,Tegra U-Boot Flasher project: manifests (see https://github.com/NVIDIA/tegra-uboot-flasher-scripts),[],9,1
295,WebGL,The Official Khronos WebGL Repository,[],653,11
296,nvgpu,[BLANK],[],10,13
297,webgl-path-tracing,Path tracing in GLSL using WebGL,[],57,11
298,scenejs,An extensible WebGL-based engine for high-detail 3D visualisation,[],177,7
299,tdl,A low-level WebGL library,[],39,3
